YJL130C, 01
YPL190C, 11,16,20
YNL186W, 11,14
YOR051C, 16
YHL030W, 14,16,42
YLL026W, 01,14,16,32
YHL034C, 11,16
YIL035C, 01,10,11,14,32,34,40,42,43
YGL091C, 01,16
YIL129C, 11,40,43
YOR210W, 11,16
YCR077C, 10,11,12
YOR369C, 12
YIL133C, 12,16
YLR150W, 01,16,30,32,40,42
YDR432W, 11,14,16,20
YPL213W, 11,14
YDL117W, 10
YKR009C, 01,02,42
YDR167W, 10,11,14,42
YBR048W, 12
YBR060C, 10,11,34
YPL008W, 10
YBR111W-A, 10,11,20
YGR178C, 11
YLR350W, 32
YNL190W, 32
YER008C, 10,16,20,43
YOL005C, 11,16
YML100W, 01,02,18,32
YHR099W, 10,11,14,42
YOL051W, 01,11,34,43
YER133W, 01,02,10,11,12,14,32,34,40,43
YLR002C, 10,11,14,16
YBR118W, 12
YCL037C, 11,12,16,34
YER018C, 10,42
YPR083W, 42
YMR314W, 14
YOR259C, 01,11,14,16
YHR082C, 01,14
YDR515W, 12,16,34
YPL079W, 12
YDL193W, 01
YER006W, 11,12,20
YOR236W, 01
YML005W, 11,16
YNR046W, 11
YDR021W, 11,16
YLR248W, 01,02,10,14
YGR238C, 34,41,43
YHR158C, 34,40,41,43
YAL038W, 01,02
YAL026C, 01,11,16,20
YPR129W, 16,20
YBR103W, 10,11,14,32
YCR033W, 10,14
YHR086W, 10,11,16
YML049C, 11,14,16,20
YKL016C, 02,14,16,20,34
YBR031W, 12
YJL109C, 11,16
YKL049C, 10,16
YGR119C, 14,16,20,42
YNL189W, 14,20,42
YJL168C, 01,11,14,42
YPR159W, 01,02,40,42
YCL059C, 11,12
YLR129W, 10,11,16
YHR185C, 40,42,43
YOL086W-A, 10
YEL034W, 01,12,16
YIL148W, 12,14
YBR249C, 01
YBR248C, 01
YLL004W, 10,11,34
YPR162C, 10,11,34
YBL002W, 10,11,16
YKR025W, 11,16
YIL130W, 11
YFL007W, 14,18,32
YDR348C, 14
YIR037W, 32
YER112W, 11
YER124C, 40,42,43
YER151C, 11,14
YLR208W, 14,20
YGL180W, 01,14,20,30,32,43
YOR056C, 14,16,32
YBR233W, 11
YBR261C, 01
YCL028W, 11
YNL288W, 11
YFL036W, 10,11,16,42
YOR017W, 11,12
YIR038C, 01,32
YDR283C, 01,12,14
YER172C, 11,16
YPL207W, 16
YPL061W, 01,02
YMR138W, 10,16,42
YOL056W, 01,02
YHR058C, 11
YCR008W, 01,10,14,32,34
YOR224C, 11,16
YDR481C, 01,14
YNL006W, 16,20,30
YPL049C, 16,34,43
YJL129C, 20,34
YML016C, 01,14,30,32,34
YCR002C, 01,10,16,34,40,41,42,43
YNL233W, 10,14,16,40,42,43
YBR159W, 01
YIL005W, 14
YDL028C, 01,10,14,30,42
YPL233W, 10
YGR060W, 01
YGR195W, 01,11,42
YPR105C, 20
YHR060W, 02,14,16,32,34
YLR447C, 14,20,34
YOR221C, 01,02
YLL023C, 20
YPR028W, 16,20,42
YDR012W, 12
YMR194W, 12,16
YLR216C, 11,14,16,32
YDR448W, 10,11,14,18,42
YOR257W, 10,42
YDL019C, 01
YGL112C, 10,11,14,42
YNL055C, 02,20,42
YBR142W, 11,12,16
YHL022C, 01,10
YOR346W, 10,16
YAL018C, 01
YCL025C, 20
YER146W, 11
YKR026C, 12
YGR105W, 14
YML012W, 20
YGR240C, 01,02
YBL032W, 10,11,16,20,32,42
YLL031C, 01,14
YAL011W, 10,42
YLR085C, 10,14,20
YCL014W, 10,43
YPR161C, 01,10,11,14,34,40
YDR429C, 12
YGL137W, 20
YDR424C, 10,20,42
YGL153W, 14,16,20
YDR309C, 30,34,40,42,43
YCR073C, 01,14,18,30,32,34
YMR117C, 10,42
YGR181W, 14,20
YJR135W-A, 14,20
YDL190C, 14,16,32
YEL043W, 42
YOR075W, 20,40,43
YER088C, 10,11,40,43
YIL084C, 10,11,14,16,43
YDR059C, 14,16,20,32,34,43
YPL037C, 01,11,12,14,16,32
YIL075C, 11,14,30
